N,Merge Sort,Quick Sort (RANDOM),Quick Sort (MEDIAN),Insertion Sort,Selection Sort,Bubble Sort,
1,0,1,1,0,0,0,
2,1,2,2,1,1,2,
3,2,1,1,3,2,6,
4,4,5,5,6,4,12,
5,5,8,8,10,6,20,
6,7,8,8,15,9,30,
7,9,13,13,21,12,42,
8,12,16,16,28,16,56,
9,13,14,14,36,20,72,
10,15,18,18,45,25,90,
11,17,26,26,55,30,110,
12,20,36,36,66,36,132,
13,22,34,34,78,42,156,
14,25,32,32,91,49,182,
15,28,48,48,105,56,210,
16,32,50,50,120,64,240,
17,33,38,38,136,72,272,
18,35,42,42,153,81,306,
19,37,60,60,171,90,342,
20,40,50,50,190,100,380,
21,42,66,66,210,110,420,
22,45,81,81,231,121,462,
23,48,67,67,253,132,506,
24,52,73,73,276,144,552,
25,54,82,82,300,156,600,
26,57,81,81,325,169,650,
27,60,94,94,351,182,702,
28,64,87,87,378,196,756,
29,67,109,109,406,210,812,
30,71,110,110,435,225,870,
31,75,105,105,465,240,930,
32,80,124,124,496,256,992,
33,81,159,159,528,272,1056,
34,83,126,126,561,289,1122,
35,85,135,135,595,306,1190,
36,88,125,125,630,324,1260,
37,90,128,128,666,342,1332,
38,93,152,152,703,361,1406,
39,96,134,134,741,380,1482,
40,100,166,166,780,400,1560,
41,102,194,194,820,420,1640,
42,105,179,179,861,441,1722,
43,108,168,168,903,462,1806,
44,112,157,157,946,484,1892,
45,115,253,253,990,506,1980,
46,119,201,201,1035,529,2070,
47,123,172,172,1081,552,2162,
48,128,221,221,1128,576,2256,
49,130,204,204,1176,600,2352,
50,133,273,273,1225,625,2450,
51,136,210,210,1275,650,2550,
52,140,219,219,1326,676,2652,
53,143,284,284,1378,702,2756,
54,147,223,223,1431,729,2862,
55,151,211,211,1485,756,2970,
56,156,259,259,1540,784,3080,
57,159,307,307,1596,812,3192,
58,163,286,286,1653,841,3306,
59,167,220,220,1711,870,3422,
60,172,264,264,1770,900,3540,
61,176,320,320,1830,930,3660,
62,181,349,349,1891,961,3782,
63,186,272,272,1953,992,3906,
64,192,278,278,2016,1024,4032,
65,193,321,321,2080,1056,4160,
66,195,300,300,2145,1089,4290,
67,197,391,391,2211,1122,4422,
68,200,317,317,2278,1156,4556,
69,202,341,341,2346,1190,4692,
70,205,318,318,2415,1225,4830,
71,208,357,357,2485,1260,4970,
72,212,362,362,2556,1296,5112,
73,214,460,460,2628,1332,5256,
74,217,359,359,2701,1369,5402,
75,220,399,399,2775,1406,5550,
76,224,370,370,2850,1444,5700,
77,227,413,413,2926,1482,5852,
78,231,452,452,3003,1521,6006,
79,235,471,471,3081,1560,6162,
80,240,404,404,3160,1600,6320,
81,242,384,384,3240,1640,6480,
82,245,394,394,3321,1681,6642,
83,248,407,407,3403,1722,6806,
84,252,513,513,3486,1764,6972,
85,255,484,484,3570,1806,7140,
86,259,450,450,3655,1849,7310,
87,263,461,461,3741,1892,7482,
88,268,484,484,3828,1936,7656,
89,271,545,545,3916,1980,7832,
90,275,590,590,4005,2025,8010,
91,279,505,505,4095,2070,8190,
92,284,436,436,4186,2116,8372,
93,288,716,716,4278,2162,8556,
94,293,535,535,4371,2209,8742,
95,298,511,511,4465,2256,8930,
96,304,508,508,4560,2304,9120,
97,306,493,493,4656,2352,9312,
98,309,516,516,4753,2401,9506,
99,312,541,541,4851,2450,9702,
100,316,535,535,4950,2500,9900,
101,319,489,489,5050,2550,10100,
102,323,615,615,5151,2601,10302,
103,327,529,529,5253,2652,10506,
104,332,568,568,5356,2704,10712,
105,335,514,514,5460,2756,10920,
106,339,632,632,5565,2809,11130,
107,343,578,578,5671,2862,11342,
108,348,642,642,5778,2916,11556,
109,352,623,623,5886,2970,11772,
110,357,720,720,5995,3025,11990,
111,362,564,564,6105,3080,12210,
112,368,697,697,6216,3136,12432,
113,371,732,732,6328,3192,12656,
114,375,625,625,6441,3249,12882,
115,379,647,647,6555,3306,13110,
116,384,611,611,6670,3364,13340,
117,388,740,740,6786,3422,13572,
118,393,782,782,6903,3481,13806,
119,398,792,792,7021,3540,14042,
120,404,663,663,7140,3600,14280,
121,408,894,894,7260,3660,14520,
122,413,699,699,7381,3721,14762,
123,418,765,765,7503,3782,15006,
124,424,805,805,7626,3844,15252,
125,429,703,703,7750,3906,15500,
126,435,689,689,7875,3969,15750,
127,441,853,853,8001,4032,16002,
